Drug Code,Ingredient,Company Name,Class,Descriptor,Current Status Flag,Status,Route of Admin
10785,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),NXSTAGE MEDICAL INC,Veterinary,,Y,MARKETED,INTRAMUSCULAR
1079,Eribulin Mesylate,MINT PHARMACEUTICALS INC,Veterinary,,Y,MARKETED,ORAL
10790,TAMOXIFEN (TAMOXIFEN CITRATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10791,TAMOXIFEN (TAMOXIFEN CITRATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10794,SODIUM ACETATE ANHYDROUS,ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
10804,OXYQUINOLINE,H W NAYLOR CO INC.,Veterinary,,Y,MARKETED,TOPICAL
10817,PENICILLIN G PROCAINE,ZOETIS CANADA INC,Veterinary,,Y,MARKETED,INTRAMAMMARY
10820,MAGNESIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
10828,PRAZOSIN (PRAZOSIN HYDROCHLORIDE),APOTEX INC,Human,,Y,MARKETED,ORAL
10829,PRAZOSIN (PRAZOSIN HYDROCHLORIDE),APOTEX INC,Human,,Y,MARKETED,ORAL
10830,PRAZOSIN (PRAZOSIN HYDROCHLORIDE),APOTEX INC,Human,,Y,MARKETED,ORAL
10832,KETOTIFEN (KETOTIFEN FUMARATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10838,SALINOMYCIN SODIUM,PHIBRO ANIMAL HEALTH CORPORATION,Veterinary,,Y,MARKETED,ORAL
1084,CISATRACURIUM (CISATRACURIUM BESYLATE),NICE-PAK PRODUCTS INC,Human,,Y,MARKETED,VAGINAL
10851,TILMICOSIN,ELANCO CANADA LIMITED,Veterinary,,Y,MARKETED,SUBCUTANEOUS
10853,SODIUM CHLORITE,ECOLAB CO,Veterinary,,Y,MARKETED,TOPICAL
1086,ATROPINE SULFATE,BIOSYENT PHARMA INC,Human,,Y,MARKETED,SUBCUTANEOUS
10860,KETOTIFEN (KETOTIFEN FUMARATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10863,SODIUM LACTATE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
10864,SODIUM LACTATE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
10865,SODIUM LACTATE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
10866,POTASSIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10867,POTASSIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10871,METRONIDAZOLE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10873,BUTOXY POLYOXYPROPYLENE POLYOXYETHYLENE GLY.IODINE,PACE CHEMICALS LTD.,Disinfectant,,Y,MARKETED,DISINFECTANT (Institutional/Industrial)
10874,DIPHENHYDRAMINE HYDROCHLORIDE,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10875,DIPHENHYDRAMINE HYDROCHLORIDE,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10878,DOCUSATE SODIUM,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10897,DOXYCYCLINE (DOXYCYCLINE HYCLATE),PRO DOC LIMITEE,Human,,Y,MARKETED,ORAL
10899,CLORAZEPATE DIPOTASSIUM,AA PHARMA INC,Human,,Y,MARKETED,ORAL
1090,STANDARDIZED MEADOW FESCUE GRASS POLLEN,WEST PENETONE INC,Human,,Y,MARKETED,TRANSDERMAL
10900,CAPTOPRIL,WEST PENETONE INC,Human,,Y,MARKETED,ORAL
10902,CLORAZEPATE DIPOTASSIUM,AA PHARMA INC,Human,,Y,MARKETED,ORAL
10903,CLORAZEPATE DIPOTASSIUM,AA PHARMA INC,Human,,Y,MARKETED,ORAL
10904,ALPRAZOLAM,APOTEX INC,Human,,Y,MARKETED,ORAL
10905,ALPRAZOLAM,APOTEX INC,Human,,Y,MARKETED,ORAL
10906,CAPTOPRIL,APOTEX INC,Human,,Y,MARKETED,ORAL
10907,CAPTOPRIL,APOTEX INC,Human,,Y,MARKETED,ORAL
10908,CAPTOPRIL,APOTEX INC,Human,,Y,MARKETED,ORAL
10913,ENALAPRIL SODIUM,MERCK CANADA INC,Human,,Y,MARKETED,ORAL
10918,GLICLAZIDE,SERVIER CANADA INC,Human,,Y,MARKETED,ORAL
10939,POTASSIUM PHOSPHATE MONOBASIC,BAXTER CORPORATION,Human,,Y,MARKETED,IRRIGATION
10940,BETAMETHASONE (BETAMETHASONE DIPROPIONATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,TOPICAL
10941,BETAMETHASONE (BETAMETHASONE DIPROPIONATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,TOPICAL
10947,SIMVASTATIN,MERCK CANADA INC,Human,,Y,MARKETED,ORAL
10949,PINDOLOL,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10950,PINDOLOL,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10951,PINDOLOL,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10954,FLUCONAZOLE,PFIZER CANADA INC,Human,,Y,MARKETED,INTRAVENOUS
10958,ACTH,CENTRAL SALES LIMITED,Veterinary,CORTICOTROPIN INJECTION,Y,MARKETED,SUBCUTANEOUS
10971,TOBRAMYCIN,NOVARTIS PHARMACEUTICALS CANADA INC,Human,,Y,MARKETED,OPHTHALMIC
10975,DOCUSATE SODIUM,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10976,CHLORAL HYDRATE,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10977,LIDOCAINE HYDROCHLORIDE,ENDO PAR INNOVATION COMPANY,Human,,Y,MARKETED,DENTAL
10986,DOCUSATE SODIUM,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10999,MENTHOL,MISSION PHARMACAL COMPANY,Human,,Y,MARKETED,TOPICAL
11001,GUAIFENESIN,ALPINE SPECIALTY CHEMICALS LTD,Human,,Y,MARKETED,ORAL
11003,NEOMYCIN (NEOMYCIN SULFATE),BIMEDA-MTC ANIMAL HEALTH INC,Veterinary,TOPICAL SPRAY SOLUTION,Y,MARKETED,TOPICAL
11004,XYLAZINE (XYLAZINE HYDROCHLORIDE),BIMEDA-MTC ANIMAL HEALTH INC,Veterinary,,Y,MARKETED,INTRAVENOUS
11011,DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE),PHARMASCIENCE INC,Human,,Y,MARKETED,INTRAVENOUS
11012,TESTOSTERONE ENANTHATE,UNIVET PHARMACEUTICALS LTD.,Veterinary,,Y,MARKETED,INTRAMUSCULAR
11014,BACITRACIN ZINC,GFR BIOSYSTEMS CANADA CORPORATION,Veterinary,,Y,MARKETED,ORAL
11016,LINEAR DODECYL BENZENE SULFONIC ACID,ECOLAB CO,Veterinary,,Y,MARKETED,TOPICAL
11025,ACETYLSALICYLIC ACID,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
11026,IVERMECTIN,MERIAL CANADA INC,Veterinary,IVERMECTIN,Y,MARKETED,ORAL
11028,DOCUSATE SODIUM,LABORATOIRES TRIANON INC,Human,,Y,MARKETED,ORAL
1103,DIPYRIDAMOLE,ZOETIS CANADA INC,Human,,Y,MARKETED,ORAL
11030,PRAVASTATIN SODIUM,BRISTOL-MYERS SQUIBB CANADA,Human,,Y,MARKETED,ORAL
11035,DIPYRIDAMOLE,APOTEX INC,Human,,Y,MARKETED,ORAL
11039,SODIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
11047,HYDRALAZINE HYDROCHLORIDE,APOTEX INC,Human,,Y,MARKETED,ORAL
11058,OXYGEN,PRAXAIR CANADA INC,Human,CO2:7.1-12% BALANCED WITH O2,Y,MARKETED,INHALATION
11059,OXYGEN,PRAXAIR CANADA INC,Human,CO2:12.1-23% BALANCED WITH O2,Y,MARKETED,INHALATION
11060,OXYGEN,PRAXAIR CANADA INC,Human,CO2:23.1-50% BALANCED WITH O2,Y,MARKETED,INHALATION
11065,CAFFEINE,BRACCO IMAGING CANADA,Human,,Y,MARKETED,ORAL
11066,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,MEGA-LAB MANUFACTURING CO LTD,Disinfectant,,Y,MARKETED,DISINFECTANT (Institutional/Industrial)
11068,TOBRAMYCIN,NOVARTIS PHARMACEUTICALS CANADA INC,Human,,Y,MARKETED,OPHTHALMIC
11089,NARASIN,ELANCO CANADA LIMITED,Veterinary,,Y,MARKETED,ORAL
11096,RANITIDINE (RANITIDINE HYDROCHLORIDE),SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,SUBCUTANEOUS
11102,LISINOPRIL,MERCK CANADA INC,Human,,Y,MARKETED,ORAL
11103,LISINOPRIL,MERCK CANADA INC,Human,,Y,MARKETED,ORAL
11116,SODIUM CHLORIDE,TOMLYN PRODUCTS DIVISION OF VETOQUINOL USA INC.,Veterinary,,Y,MARKETED,OPHTHALMIC
11133,TETRAHYDROZOLINE HYDROCHLORIDE,ZEE MEDICAL,Human,,Y,MARKETED,OPHTHALMIC
11135,PYRIDOSTIGMINE BROMIDE,VALEANT CANADA LP/VALEANT CANADA S.E.C.,Human,,Y,MARKETED,ORAL
11138,SODIUM CARBOXYMETHYL CELLULOSE,ALLERGAN INC,Human,,Y,MARKETED,OPHTHALMIC
11152,TRETINOIN,VALEANT CANADA LP/VALEANT CANADA S.E.C.,Human,,Y,MARKETED,TOPICAL
11153,TRETINOIN,VALEANT CANADA LP/VALEANT CANADA S.E.C.,Human,,Y,MARKETED,TOPICAL
1118,CEFUROXIME (CEFUROXIME AXETIL),VANC PHARMACEUTICALS INC,Human,,Y,MARKETED,ORAL
11196,MOMETASONE FUROATE,MERCK CANADA INC,Human,,Y,MARKETED,TOPICAL
11197,SODIUM LACTATE,BAXTER CORPORATION,Veterinary,,Y,MARKETED,INTRAVENOUS
11207,HYDROQUINONE,FASHION FAIR LLC,Human,,Y,MARKETED,TOPICAL
11221,MEBENDAZOLE,SERGEANTS OF CANADA,Veterinary,,Y,MARKETED,ORAL
11225,NITROGLYCERIN,MERCK CANADA INC,Human,,Y,MARKETED,TRANSDERMAL
11226,NITROGLYCERIN,KIEHLS CANADA,Human,,Y,MARKETED,TRANSDERMAL
11227,NITROGLYCERIN,KUE PERSONAL CARE PRODUCTS INC,Human,,Y,MARKETED,TRANSDERMAL
1124,FACTOR XIII,PROCTER & GAMBLE INC,Human,,Y,MARKETED,ORAL
1125,OPIUM,LANCOME CANADA,Human,,Y,MARKETED,TOPICAL
11254,NICOTINIC ACID,ODAN LABORATORIES LTD,Human,,Y,MARKETED,ORAL
11257,OPIUM,SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,RECTAL
11258,DOXAZOSIN (DOXAZOSIN MESYLATE),SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,INTRAVENOUS
11260,CLINDAMYCIN (CLINDAMYCIN PHOSPHATE),PFIZER CANADA INC,Human,,Y,MARKETED,TOPICAL
11296,BENZALKONIUM CHLORIDE,NYPOWER INDUSTRIES LTD.,Disinfectant,,Y,MARKETED,DISINFECTANT (Hospital/HC Facilities)
1130,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),PRO DOC LIMITEE,Human,DILUENT SUPPLIED,Y,MARKETED,ORAL
11300,ZIDOVUDINE,VIIV HEALTHCARE ULC,Human,,Y,MARKETED,ORAL
11314,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,TAROPHARMA,Disinfectant,,Y,MARKETED,DISINFECTANT (Hospital/HC Facilities)
1132,CARBOPROST (CARBOPROST TROMETHAMINE),ACCORD HEALTHCARE INC,Human,SINGLE DOSE-VIAL. DILUENT SUPPLIED,Y,MARKETED,ORAL
11328,IOVERSOL,LIEBEL-FLARSHEIM CANADA INC,Human,,Y,MARKETED,INTRAVASCULAR
11329,ISOLEUCINE,BAXTER CORPORATION,Human,BLEND C,Y,MARKETED,INTRAVENOUS
11330,SODIUM LACTATE,FRESENIUS KABI AG,Human,,Y,MARKETED,0-UNASSIGNED
11333,SODIUM ACETATE ANHYDROUS,ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
11339,ACETAMINOPHEN,ENVIROX LLC,Human,,Y,MARKETED,ORAL
1134,METHYLPREDNISOLONE ACETATE,DENTSPLY CANADA LIMITED,Human,,Y,MARKETED,TOPICAL
11341,CHARCOAL ACTIVATED,LABORATOIRES GRIMBERG,Human,,Y,MARKETED,ORAL
11342,ZIDOVUDINE,VIIV HEALTHCARE ULC,Human,,Y,MARKETED,INTRAVENOUS
11343,O-PHENYLPHENOL,BIO AGRI MIX LP,Disinfectant,,Y,MARKETED,DISINFECTANT (Food Premises)
11356,GLYCOSAMINOGLYCAN POLYSULFATE,LUITPOLD PHARMACEUTICALS INC,Veterinary,,Y,MARKETED,INTRAMUSCULAR
11357,TIAMULIN FUMARATE,ELANCO CANADA LIMITED,Veterinary,,Y,MARKETED,ORAL
11363,HYDROMORPHONE HYDROCHLORIDE,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
11365,IMIGLUCERASE,ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
11370,CEFTAZIDIME,FRESENIUS KABI CANADA LTD,Human, USP,Y,MARKETED,INTRAVENOUS
11371,CEFTAZIDIME,FRESENIUS KABI CANADA LTD,Human, USP,Y,MARKETED,INTRAVENOUS
11372,CEFTAZIDIME,FRESENIUS KABI CANADA LTD,Human, USP,Y,MARKETED,INTRAVENOUS
