Drug,Status,Phase
Rituximab,Approved,NA
Rituximab,Approved,NA
Basiliximab,Approved,NA
Ibritumomab tiuxetan,Approved,NA
Daptomycin,Approved,NA
Daptomycin,Approved,NA
Pegvisomant,Approved,NA
Pancrelipase,Approved,NA
Alemtuzumab,Approved,NA
Alglucerase,Approved,NA
Laronidase,Approved,NA
Cyclosporine,Approved,NA
Cyclosporine,Approved,NA
Cyclosporine,Approved,NA
Alefacept,Approved,NA
Efalizumab,Approved,NA
Filgrastim,Approved,NA
Filgrastim,Approved,NA
Filgrastim,Approved,NA
Filgrastim,Approved,NA
Coagulation Factor IX,Approved,NA
Becaplermin,Approved,NA
Agalsidase beta,Approved,NA
Octreotide,Approved,NA
Octreotide,Approved,NA
Abarelix,Approved,NA
Oxytocin,Approved,NA
Oxytocin,Approved,NA
Oxytocin,Approved,NA
Natalizumab,Approved,NA
Natalizumab,Approved,NA
Enfuvirtide,Approved,NA
Palivizumab,Approved,NA
Daclizumab,Approved,NA
Daclizumab,Approved,NA
Bevacizumab,Approved,NA
Bevacizumab,Approved,NA
Bevacizumab,Approved,NA
Bevacizumab,Approved,NA
Bevacizumab,Approved,NA
Bevacizumab,Approved,NA
Bevacizumab,Approved,NA
Bevacizumab,Approved,NA
Cyanocobalamin,Approved,NA
Cyanocobalamin,Approved,NA
Cyanocobalamin,Approved,NA
Cyanocobalamin,Approved,NA
Cyanocobalamin,Approved,NA
Biotin,Approved,NA
Choline,Approved,NA
Vitamin C,Approved,NA
Vitamin C,Approved,NA
L-Aspartic Acid,Approved,NA
L-Glutamine,Approved,NA
Adenosine monophosphate,Approved,NA
L-Serine,Approved,NA
L-Serine,Approved,NA
L-Serine,Approved,NA
L-Serine,Approved,NA
L-Serine,Approved,NA
Calcitriol,Approved,NA
Calcitriol,Approved,NA
Calcitriol,Approved,NA
Calcitriol,Approved,NA
Calcitriol,Approved,NA
Xanthophyll,Approved,NA
Xanthophyll,Approved,NA
Xanthophyll,Approved,NA
Succinic acid,Approved,NA
Riboflavin,Approved,NA
Riboflavin,Approved,NA
Glycine,Approved,NA
Glycine,Approved,NA
Glycine,Approved,NA
Glycine,Approved,NA
Glycine,Approved,NA
Glycine,Approved,NA
Calcidiol,Approved,NA
Calcidiol,Approved,NA
Calcidiol,Approved,NA
Calcidiol,Approved,NA
L-Cysteine,Approved,NA
L-Cysteine,Approved,NA
L-Cysteine,Approved,NA
L-Cysteine,Approved,NA
L-Cysteine,Approved,NA
Thiamine,Approved,NA
Thiamine,Approved,NA
Thiamine,Approved,NA
Thiamine,Approved,NA
Thiamine,Approved,NA
Thiamine,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Ergocalciferol,Approved,NA
Folic Acid,Approved,NA
Folic Acid,Approved,NA
Folic Acid,Approved,NA
Folic Acid,Approved,NA
Folic Acid,Approved,NA
Folic Acid,Approved,NA
Icosapent,Approved,NA
Icosapent,Approved,NA
Vitamin A,Approved,NA
Vitamin A,Approved,NA
Vitamin A,Approved,NA
Vitamin E,Approved,NA
Pyridoxine,Approved,NA
Pyridoxine,Approved,NA
Pyridoxine,Approved,NA
Lipoic Acid,Approved,NA
Cholecalciferol,Approved,NA
Cholecalciferol,Approved,NA
Cholecalciferol,Approved,NA
Cholecalciferol,Approved,NA
Cholecalciferol,Approved,NA
Cholecalciferol,Approved,NA
Cholecalciferol,Approved,NA
Cholecalciferol,Approved,NA
Pravastatin,Approved,NA
Pravastatin,Approved,NA
Pravastatin,Approved,NA
Pravastatin,Approved,NA
Pravastatin,Approved,NA
Pravastatin,Approved,NA
Pravastatin,Approved,NA
Fluvoxamine,Approved,NA
Fluvoxamine,Approved,NA
Valsartan,Approved,NA
Valsartan,Approved,NA
Ramipril,Approved,NA
Ramipril,Approved,NA
Ramipril,Approved,NA
Masoprocol,Approved,NA
Flunisolide,Approved,NA
Flunisolide,Approved,NA
Baclofen,Approved,NA
Amphetamine,Approved,NA
Amphetamine,Approved,NA
Amphetamine,Approved,NA
Nicotine,Approved,NA
Nicotine,Approved,NA
Lorazepam,Approved,NA
Lorazepam,Approved,NA
Lorazepam,Approved,NA
Lorazepam,Approved,NA
Lorazepam,Approved,NA
Lorazepam,Approved,NA
Lorazepam,Approved,NA
Esmolol,Approved,NA
Esmolol,Approved,NA
Esmolol,Approved,NA
Bortezomib,Approved,NA
Bortezomib,Approved,NA
Ethchlorvynol,Approved,NA
Carbidopa,Approved,NA
Carbidopa,Approved,NA
Carbidopa,Approved,NA
Phentermine,Approved,NA
Phentermine,Approved,NA
Tramadol,Approved,NA
Tramadol,Approved,NA
Tramadol,Approved,NA
Vidarabine,Approved,NA
Vidarabine,Approved,NA
Betaxolol,Approved,NA
Betaxolol,Approved,NA
Betaxolol,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Fluconazole,Approved,NA
Oseltamivir,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Erythromycin,Approved,NA
Hydroxocobalamin,Approved,NA
Hydroxocobalamin,Approved,NA
Hydroxocobalamin,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Caffeine,Approved,NA
Sildenafil,Approved,NA
Sildenafil,Approved,NA
Pyrimethamine,Approved,NA
Pyrimethamine,Approved,NA
Pyrimethamine,Approved,NA
Reserpine,Approved,NA
Reserpine,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Azithromycin,Approved,NA
Ticlopidine,Approved,NA
Trospium,Approved,NA
Trospium,Approved,NA
Trospium,Approved,NA
Trospium,Approved,NA
Adapalene,Approved,NA
Midodrine,Approved,NA
Pantoprazole,Approved,NA
Pantoprazole,Approved,NA
Pantoprazole,Approved,NA
Pantoprazole,Approved,NA
Pantoprazole,Approved,NA
Torasemide,Approved,NA
Torasemide,Approved,NA
Torasemide,Approved,NA
Torasemide,Approved,NA
Citalopram,Approved,NA
Citalopram,Approved,NA
Citalopram,Approved,NA
Eletriptan,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Moxifloxacin,Approved,NA
Nelfinavir,Approved,NA
Glimepiride,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Diflorasone,Approved,NA
Indinavir,Approved,NA
Guanadrel,Approved,NA
Lovastatin,Approved,NA
Lovastatin,Approved,NA
Lovastatin,Approved,NA
Lovastatin,Approved,NA
Lovastatin,Approved,NA
Lovastatin,Approved,NA
Lovastatin,Approved,NA
Pregabalin,Approved,NA
Pregabalin,Approved,NA
Pregabalin,Approved,NA
Pregabalin,Approved,NA
Temazepam,Approved,NA
Methyclothiazide,Approved,NA
Methyclothiazide,Approved,NA
Methyclothiazide,Approved,NA
Aminosalicylic Acid,Approved,NA
Aminosalicylic Acid,Approved,NA
Reboxetine,Approved,NA
Milrinone,Approved,NA
Butabarbital,Approved,NA
Butabarbital,Approved,NA
Butabarbital,Approved,NA
Nevirapine,Approved,NA
Oxiconazole,Approved,NA
Oxiconazole,Approved,NA
Oxiconazole,Approved,NA
Oxiconazole,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Alclometasone,Approved,NA
Butalbital,Approved,NA
Cladribine,Approved,NA
Ranolazine,Approved,NA
Mesalazine,Approved,NA
Mesalazine,Approved,NA
Mesalazine,Approved,NA
Mesalazine,Approved,NA
Benzatropine,Approved,NA
Benzatropine,Approved,NA
Benzatropine,Approved,NA
Benzatropine,Approved,NA
Ziprasidone,Approved,NA
Ziprasidone,Approved,NA
Ziprasidone,Approved,NA
Ziprasidone,Approved,NA
Cabergoline,Approved,NA
Idoxuridine,Approved,NA
Dapsone,Approved,NA
Dapsone,Approved,NA
Dapsone,Approved,NA
Terconazole,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Phenytoin,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Medrysone,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Doxycycline,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Clotrimazole,Approved,NA
Calcium Acetate,Approved,NA
Calcium Acetate,Approved,NA
Calcium Acetate,Approved,NA
Calcium Acetate,Approved,NA
Calcium Acetate,Approved,NA
Calcium Acetate,Approved,NA
Sulfanilamide,Approved,NA
Sulfanilamide,Approved,NA
Cycloserine,Approved,NA
Cycloserine,Approved,NA
Cycloserine,Approved,NA
Cycloserine,Approved,NA
Anagrelide,Approved,NA
Carmustine,Approved,NA
Carmustine,Approved,NA
Carmustine,Approved,NA
Carmustine,Approved,NA
Carmustine,Approved,NA
Carmustine,Approved,NA
Carmustine,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Sulfisoxazole,Approved,NA
Metoprolol,Approved,NA
Metoprolol,Approved,NA
Metoprolol,Approved,NA
Metoprolol,Approved,NA
Metoprolol,Approved,NA
Crotamiton,Approved,NA
Crotamiton,Approved,NA
Dicoumarol,Approved,NA
Dicoumarol,Approved,NA
Dicoumarol,Approved,NA
Dicoumarol,Approved,NA
Ropinirole,Approved,NA
Ropinirole,Approved,NA
Isradipine,Approved,NA
Topiramate,Approved,NA
Topiramate,Approved,NA
Topiramate,Approved,NA
Topiramate,Approved,NA
Cefmetazole,Approved,NA
Cefmetazole,Approved,NA
Cefmetazole,Approved,NA
Cefmetazole,Approved,NA
Cefmetazole,Approved,NA
Cefmetazole,Approved,NA
Cefmetazole,Approved,NA
Cefmetazole,Approved,NA
Olmesartan,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Theophylline,Approved,NA
Argatroban,Approved,NA
Liothyronine,Approved,NA
Liothyronine,Approved,NA
Liothyronine,Approved,NA
Liothyronine,Approved,NA
Liothyronine,Approved,NA
Liothyronine,Approved,NA
Liothyronine,Approved,NA
Disopyramide,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Lidocaine,Approved,NA
Pamidronate,Approved,NA
Pamidronate,Approved,NA
Pamidronate,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Clemastine,Approved,NA
Acarbose,Approved,NA
Venlafaxine,Approved,NA
Venlafaxine,Approved,NA
Venlafaxine,Approved,NA
Venlafaxine,Approved,NA
Conjugated Estrogens,Approved,NA
Conjugated Estrogens,Approved,NA
Travoprost,Approved,NA
Travoprost,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Amcinonide,Approved,NA
Atomoxetine,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Bleomycin,Approved,NA
Chlorambucil,Approved,NA
Chlorambucil,Approved,NA
Chlorambucil,Approved,NA
Morphine,Approved,NA
Morphine,Approved,NA
Morphine,Approved,NA
Morphine,Approved,NA
Morphine,Approved,NA
Bupivacaine,Approved,NA
Bupivacaine,Approved,NA
Penciclovir,Approved,NA
Penciclovir,Approved,NA
Penciclovir,Approved,NA
Penciclovir,Approved,NA
Tenofovir,Approved,NA
Tenofovir,Approved,NA
Tranexamic Acid,Approved,NA
Tranexamic Acid,Approved,NA
Tranexamic Acid,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Ertapenem,Approved,NA
Mitomycin,Approved,NA
Mitomycin,Approved,NA
Talbutal,Approved,NA
Bexarotene,Approved,NA
Vindesine,Approved,NA
Vindesine,Approved,NA
Vindesine,Approved,NA
Vindesine,Approved,NA
Chlorthalidone,Approved,NA
Chlorthalidone,Approved,NA
Pentobarbital,Approved,NA
Pentobarbital,Approved,NA
Pentobarbital,Approved,NA
Pentobarbital,Approved,NA
Pentobarbital,Approved,NA
Valproic Acid,Approved,NA
Valproic Acid,Approved,NA
Valproic Acid,Approved,NA
Valproic Acid,Approved,NA
Capreomycin,Approved,NA
Capreomycin,Approved,NA
Zolmitriptan,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Acetaminophen,Approved,NA
Gefitinib,Approved,NA
Gefitinib,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Codeine,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Piperacillin,Approved,NA
Dihydroergotamine,Approved,NA
Dihydroergotamine,Approved,NA
Dihydroergotamine,Approved,NA
Amitriptyline,Approved,NA
Amitriptyline,Approved,NA
Floxuridine,Approved,NA
Floxuridine,Approved,NA
Tolcapone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Fluorometholone,Approved,NA
Nitroprusside,Approved,NA
Nitroprusside,Approved,NA
Nitroprusside,Approved,NA
Nitroprusside,Approved,NA
Calcium Gluceptate,Approved,NA
Calcium Gluceptate,Approved,NA
Calcium Gluceptate,Approved,NA
Calcium Gluceptate,Approved,NA
Calcium Gluceptate,Approved,NA
Calcium Gluceptate,Approved,NA
Hydromorphone,Approved,NA
Hydromorphone,Approved,NA
Hydromorphone,Approved,NA
Hydromorphone,Approved,NA
Hydromorphone,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Indomethacin,Approved,NA
Ethambutol,Approved,NA
Ethambutol,Approved,NA
Metformin,Approved,NA
Ipratropium bromide,Approved,NA
Ipratropium bromide,Approved,NA
Ipratropium bromide,Approved,NA
Ipratropium bromide,Approved,NA
Ipratropium bromide,Approved,NA
Ipratropium bromide,Approved,NA
Methadone,Approved,NA
Methadone,Approved,NA
Olanzapine,Approved,NA
Olanzapine,Approved,NA
Olanzapine,Approved,NA
Olanzapine,Approved,NA
Olanzapine,Approved,NA
Olanzapine,Approved,NA
Atenolol,Approved,NA
Atenolol,Approved,NA
Atenolol,Approved,NA
Nitrofural,Approved,NA
Nitrofural,Approved,NA
Nitrofural,Approved,NA
Omeprazole,Approved,NA
Omeprazole,Approved,NA
Omeprazole,Approved,NA
Omeprazole,Approved,NA
Omeprazole,Approved,NA
Omeprazole,Approved,NA
Omeprazole,Approved,NA
Pyrazinamide,Approved,NA
Pyrazinamide,Approved,NA
Pyrazinamide,Approved,NA
Metixene,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Cetirizine,Approved,NA
Diltiazem,Approved,NA
Diltiazem,Approved,NA
Diltiazem,Approved,NA
Diltiazem,Approved,NA
Diltiazem,Approved,NA
Protriptyline,Approved,NA
Alfuzosin,Approved,NA
Trimethadione,Approved,NA
Trimethadione,Approved,NA
Nitisinone,Approved,NA
Clobazam,Approved,NA
Minoxidil,Approved,NA
Minoxidil,Approved,NA
Megestrol acetate,Approved,NA
Megestrol acetate,Approved,NA
Megestrol acetate,Approved,NA
Tioguanine,Approved,NA
Methylergometrine,Approved,NA
Buclizine,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Aztreonam,Approved,NA
Chlorzoxazone,Approved,NA
Aminoglutethimide,Approved,NA
Mefloquine,Approved,NA
Sulfadiazine,Approved,NA
Sulfadiazine,Approved,NA
Sulfadiazine,Approved,NA
Sulfadiazine,Approved,NA
Sulfadiazine,Approved,NA
Sulfadiazine,Approved,NA
Sapropterin,Approved,NA
Vinorelbine,Approved,NA
Anidulafungin,Approved,NA
